offset,tt,src_easting_original,src_northing_original,src_elevation,rec_easting_original,rec_northing_original,rec_elevation,src_easting,src_northing,rec_easting,rec_northing,src_name,rec_name
409.53,0.38652,2701986.589996,1172391.8699951,1946.76,2702166.300003,1172759.86,2189.56,786.5899959998205,891.869995099958,966.3000030000694,1259.8600000001024, 787_ 892, 966_1260
409.76,0.41146,2702070.61,1172537.8499985,2047.74,2702251.52,1172905.51,2246.42,870.6099999998696,1037.8499984999653,1051.5200000000186,1405.5100000000093, 871_1038,1052_1406
409.99,0.32586000000000004,2702196.5,1172930.82,2247.7,2702606.46,1172936.16,2263.61,996.5,1430.8200000000652,1406.4599999999627,1436.1599999999162, 996_1431,1406_1436
410.1,0.32375,2702258.74,1172937.88,2259.67,2701848.729996,1172946.28,2176.58,1058.7400000002235,1437.8799999998882,648.7299959999509,1446.280000000028,1059_1438, 649_1446
410.13,,2701922.860001,1172301.2000122,1883.35,2701724.109985,1171942.4500122,1676.37,722.8600010001101,801.2000122000463,524.1099849999882,442.45001220004633, 723_ 801, 524_ 442
410.16,0.39687,2702099.559999,1172586.6999998,2073.61,2702278.58,1172955.73,2267.73,899.5599989998154,1086.699999799952,1078.5800000000745,1455.7299999999814, 900_1087,1079_1456
410.22,0.24563,2701986.589996,1172391.8699951,1946.76,2701779.410004,1172037.8099976,1739.7,786.5899959998205,891.869995099958,579.4100040001795,537.8099976000376, 787_ 892, 579_ 538
410.33,0.28441000000000005,2702041.43,1172488.1299973,2012.52,2701835.089996,1172133.4599915,1783.09,841.4300000001676,988.1299972999841,635.0899959998205,633.4599915000144, 841_ 988, 635_ 633
410.35,0.34528,2701922.860001,1172301.2000122,1883.35,2702112.779999,1172664.9599991,2121.08,722.8600010001101,801.2000122000463,912.7799990000203,1164.9599991000723, 723_ 801, 913_1165
410.35,0.26505,2702014.110001,1172440.7700043,1978.09,2701806.899994,1172086.5799866,1761.32,814.1100010001101,940.770004299935,606.8999939998612,586.5799865999725, 814_ 941, 607_ 587
410.37,0.40569,2702014.110001,1172440.7700043,1978.09,2702195.71,1172808.77,2224.58,814.1100010001101,940.770004299935,995.7099999999627,1308.7700000000186, 814_ 941, 996_1309
410.42,0.19576,2701647.559998,1171813.8499756,1594.16,2701833.639999,1172179.6600037,1803.95,447.55999800004065,313.84997559990734,633.6399989998899,679.6600037000608, 448_ 314, 634_ 680
410.59,0.39254,2702126.029999,1172633.5900002,2101.59,2702306.6,1173002.34,2266.94,926.0299990000203,1133.5900002000853,1106.6000000000931,1502.3400000000838, 926_1134,1107_1502
410.64,0.28885,2702874.94,1172937.83,2289.76,2702464.33,1172932.86,2248.29,1674.9399999999441,1437.8300000000745,1264.3300000000745,1432.8600000001024,1675_1438,1264_1433
411.16,0.26988999999999996,2701794.130005,1172053.4899902,1750.74,2701973.690002,1172423.3699951,1961.11,594.1300050001591,553.4899901999161,773.6900019999593,923.369995099958, 594_ 553, 774_ 923
411.17,0.34057,2702126.029999,1172633.5900002,2101.59,2701918.839996,1172278.4400024,1870.96,926.0299990000203,1133.5900002000853,718.8399959998205,778.4400023999624, 926_1134, 719_ 778
411.18,0.30504000000000003,2701810.019989,1172939.62,2166.88,2702220.92,1172954.76,2256.0,610.0199890001677,1439.6200000001118,1020.9199999999255,1454.7600000000093, 610_1440,1021_1455
411.31,0.2868,2702317.08,1172938.7,2260.32,2701905.860001,1172947.34,2197.15,1117.0800000000745,1438.6999999999534,705.8600010001101,1447.3400000000838,1117_1439, 706_1447
411.4,0.19049000000000002,2701820.700012,1172102.5400085,1769.89,2701612.100006,1171747.9500122,1560.51,620.700011999812,602.5400084999856,412.1000060001388,247.95001220004633, 621_ 603, 412_ 248
411.41,0.34341000000000005,2702153.959999,1172681.68,2138.66,2701945.860001,1172326.7799988,1900.63,953.959999000188,1181.6799999999348,745.8600010001101,826.7799988000188, 954_1182, 746_ 827
411.44,0.27229000000000003,2701820.700012,1172102.5400085,1769.89,2702001.389999,1172472.1800003,1992.26,620.700011999812,602.5400084999856,801.3899989998899,972.1800003000535, 621_ 603, 801_ 972
411.47,0.30545999999999995,2702070.61,1172537.8499985,2047.74,2701863.119995,1172182.519989,1815.15,870.6099999998696,1037.8499984999653,663.1199949998409,682.5199889999349, 871_1038, 663_ 683
411.92,0.4112,2702041.43,1172488.1299973,2012.52,2702223.07,1172857.84,2233.41,841.4300000001676,988.1299972999841,1023.0699999998324,1357.8400000000838, 841_ 988,1023_1358
412.02,0.30326,2701923.559998,1172938.77,2199.99,2702335.24,1172955.52,2263.94,723.5599980000407,1438.7700000000186,1135.2400000002235,1455.5200000000186, 724_1439,1135_1456
412.27,0.26212,2701733.420013,1171957.4400024,1687.45,2701917.279999,1172326.4400024,1900.69,533.4200129997917,457.4400023999624,717.2799990000203,826.4400023999624, 533_ 457, 717_ 826
412.54,,2702211.29,1172778.71,2209.33,2702001.779999,1172423.3300018,1964.24,1011.2900000000373,1278.7099999999627,801.7799990000203,923.3300018000882,1011_1279, 802_ 923
412.92,0.29746,2701844.809998,1172148.25,1795.42,2702027.139999,1172518.7299995,2026.82,644.8099980000407,648.25,827.1399989998899,1018.729999500094, 645_ 648, 827_1019
412.94,,2702240.51,1172828.18,2226.41,2702030.549999,1172472.5999985,2000.59,1040.5099999997765,1328.1799999999348,830.549999000039,972.5999984999653,1041_1328, 831_ 973
412.99,0.25453,2701762.579987,1172003.8699951,1716.71,2701945.899994,1172373.9400024,1933.26,562.5799870002083,503.86999509995803,745.8999939998612,873.9400023999624, 563_ 504, 746_ 874
413.11,0.32862,2701865.770004,1172939.88,2179.24,2702278.58,1172955.73,2267.73,665.7700040000491,1439.8799999998882,1078.5800000000745,1455.7299999999814, 666_1440,1079_1456
413.17,,2702099.559999,1172586.6999998,2073.61,2701890.839996,1172230.1199951,1840.42,899.5599989998154,1086.699999799952,690.8399959998205,730.119995099958, 900_1087, 691_ 730
413.44,0.30747,2702819.13,1172938.19,2289.82,2702405.71,1172934.08,2249.79,1619.1299999998882,1438.1899999999441,1205.7099999999627,1434.0800000000745,1619_1438,1206_1434
413.59,0.2166,2701866.809998,1172190.6000061,1815.96,2701640.200012,1171844.6199951,1600.72,666.8099980000407,690.6000061000232,440.200011999812,344.61999509995803, 667_ 691, 440_ 345
413.79,,2702265.08,1172876.49,2236.29,2702056.57,1172519.0699997,2033.39,1065.0800000000745,1376.4899999999907,856.5699999998324,1019.0699996999465,1065_1376, 857_1019
414.05,0.41067000000000004,2702174.029999,1172736.72,2177.18,2701974.349998,1172374.0,1933.18,974.0299990000203,1236.719999999972,774.3499980000779,874.0, 974_1237, 774_ 874
414.61,,2702294.31,1172926.25,2260.6,2702085.27,1172568.1999998,2066.08,1094.3100000000559,1426.25,885.2700000000186,1068.199999799952,1094_1426, 885_1068
414.87,0.29269,2702764.17,1172937.64,2291.74,2702349.33,1172932.34,2246.88,1564.1699999999255,1437.6399999998976,1149.3300000000745,1432.3400000000838,1564_1438,1149_1432
415.0,0.38060000000000005,2702349.85,1173024.38,2274.19,2702141.970001,1172665.1999969,2123.76,1149.8500000000931,1524.3799999998882,941.9700009999797,1165.1999969000462,1150_1524, 942_1165
415.15,,2702708.11,1172936.64,2288.94,2702293.0,1172930.73,2261.99,1508.1099999998696,1436.6399999998976,1093.0,1430.7299999999814,1508_1437,1093_1431
415.17,0.30341,2702034.740002,1172938.39,2220.1,2702449.47,1172957.53,2260.28,834.7400019997731,1438.3899999998976,1249.470000000205,1457.530000000028, 835_1438,1249_1458
415.24,0.2938,2702091.33,1172937.71,2230.38,2702506.06,1172958.21,2263.31,891.3300000000745,1437.7099999999627,1306.0600000000559,1458.2099999999627, 891_1438,1306_1458
415.49,0.21361000000000002,2701706.309998,1171905.3699951,1654.35,2701889.850006,1172278.1199951,1869.07,506.30999800004065,405.36999509995803,689.8500060001388,778.119995099958, 506_ 405, 690_ 778
415.49,0.38164,2701957.400002,1172340.5599976,1910.46,2702139.650002,1172713.95,2157.4,757.4000019999221,840.5599976000376,939.6500019999221,1213.9499999999534, 757_ 841, 940_1214
415.52,,2701903.330002,1172251.4500122,1854.75,2701695.600006,1171891.5800171,1644.18,703.3300020000897,751.4500122000463,495.6000060001388,391.5800171000883, 703_ 751, 496_ 392
