station_number,northing_original,easting_original,elevation,easting,northing
5599,1172896.682,2702448.59,2237.35,1248.589999999851,1396.6820000000298
5600,1172897.63971429,2702448.58342857,2237.72042857143,1248.5834285700694,1397.6397142899223
5601,1172898.59742857,2702448.57685714,2238.09085714286,1248.576857139822,1398.5974285700358
5602,1172899.55514286,2702448.57028571,2238.46128571429,1248.5702857100405,1399.5551428599283
5603,1172900.51285714,2702448.56371429,2238.83171428571,1248.5637142900378,1400.512857140042
5604,1172901.47057143,2702448.55714286,2239.20214285714,1248.5571428597905,1401.4705714299344
5605,1172902.42828571,2702448.55057143,2239.57257142857,1248.5505714300089,1402.428285710048
5606,1172903.386,2702448.544,2239.943,1248.5440000002272,1403.3859999999404
5607,1172904.31181818,2702448.74209091,2240.20245454545,1248.7420909102075,1404.3118181799073
5608,1172905.23763636,2702448.94018182,2240.46190909091,1248.9401818201877,1405.237636360107
5609,1172906.16345455,2702449.13827273,2240.72136363636,1249.138272730168,1406.1634545500856
5610,1172907.08927273,2702449.33636364,2240.98081818182,1249.3363636401482,1407.0892727300525
5611,1172908.01509091,2702449.53445455,2241.24027272727,1249.5344545501284,1408.0150909100194
5612,1172908.94090909,2702449.73254545,2241.49972727273,1249.7325454498641,1408.9409090899862
5613,1172909.86672727,2702449.93063636,2241.75918181818,1249.9306363598444,1409.8667272699531
5614,1172910.79254545,2702450.12872727,2242.01863636364,1250.1287272698246,1410.79254544992
5615,1172911.71836364,2702450.32681818,2242.27809090909,1250.3268181798048,1411.7183636398986
5616,1172912.64418182,2702450.52490909,2242.53754545455,1250.524909089785,1412.6441818200983
5617,1172913.57,2702450.723,2242.797,1250.723000000231,1413.5700000000652
5618,1172914.52675,2702450.699875,2243.09525,1250.699874999933,1414.5267499999609
5619,1172915.4835,2702450.67675,2243.3935,1250.6767500001006,1415.4835000000894
5620,1172916.44025,2702450.653625,2243.69175,1250.6536249998026,1416.440249999985
5621,1172917.397,2702450.6305,2243.99,1250.6304999999702,1417.3970000001136
5622,1172918.35375,2702450.607375,2244.28825,1250.6073750001378,1418.3537500000093
5623,1172919.3105,2702450.58425,2244.5865,1250.5842499998398,1419.310499999905
5624,1172920.26725,2702450.561125,2244.88475,1250.5611250000075,1420.2672500000335
5625,1172921.224,2702450.538,2245.183,1250.538000000175,1421.2239999999292
5626,1172922.05591667,2702450.75233333,2245.51991666667,1250.7523333299905,1422.0559166700114
5627,1172922.88783333,2702450.96666667,2245.85683333333,1250.9666666700505,1422.8878333300818
5628,1172923.71975,2702451.181,2246.19375,1251.180999999866,1423.719749999931
5629,1172924.55166667,2702451.39533333,2246.53066666667,1251.395333330147,1424.5516666700132
5630,1172925.38358333,2702451.60966667,2246.86758333333,1251.609666670207,1425.3835833300836
5631,1172926.2155,2702451.824,2247.2045,1251.8240000000224,1426.215499999933
5632,1172927.04741667,2702452.03833333,2247.54141666667,1252.0383333298378,1427.047416670015
5633,1172927.87933333,2702452.25266667,2247.87833333333,1252.2526666698977,1427.8793333300855
5634,1172928.71125,2702452.467,2248.21525,1252.4670000001788,1428.7112499999348
5635,1172929.54316667,2702452.68133333,2248.55216666667,1252.6813333299942,1429.543166670017
5636,1172930.37508333,2702452.89566667,2248.88908333333,1252.8956666700542,1430.3750833300874
5637,1172931.207,2702453.11,2249.226,1253.1099999998696,1431.2069999999367
5638,1172932.1405,2702452.9905,2249.698,1252.9904999998398,1432.1404999999795
5639,1172933.074,2702452.871,2250.17,1252.87099999981,1433.0740000000224
5640,1172934.0075,2702452.7515,2250.642,1252.7514999997802,1434.0075000000652
5641,1172934.941,2702452.632,2251.114,1252.632000000216,1434.941000000108
5642,1172935.86014286,2702452.78514286,2251.59985714286,1252.7851428599097,1435.860142860096
5643,1172936.77928571,2702452.93828571,2252.08571428571,1252.9382857098244,1436.7792857100721
5644,1172937.69842857,2702453.09142857,2252.57157142857,1253.0914285699837,1437.69842857006
5645,1172938.61757143,2702453.24457143,2253.05742857143,1253.244571430143,1438.617571430048
5646,1172939.53671429,2702453.39771429,2253.54328571429,1253.3977142898366,1439.536714290036
5647,1172940.45585714,2702453.55085714,2254.02914285714,1253.550857140217,1440.455857140012
