name,station_number,elevation,easting_original,northing_original,easting,northing
 878_1499,1066,2246.22,2702078.252,1172999.125,878.2519999998622,1499.125
 907_1499,1067,2251.87,2702106.671,1172999.46,906.6710000000894,1499.4599999999627
 935_1500,1068,2261.959,2702135.278,1173000.112,935.277999999933,1500.1119999999646
 964_1501,1069,2268.153,2702163.518,1173001.059,963.5180000001565,1501.058999999892
 992_1501,1070,2269.387,2702192.455,1173000.887,992.4550000000745,1500.8870000001043
1021_1501,1071,2269.331,2702221.091,1173001.428,1021.0910000000149,1501.4280000000726
1049_1503,1072,2266.839,2702249.402,1173003.26,1049.401999999769,1503.2600000000093
1077_1503,1073,2263.03,2702277.333,1173002.578,1077.3330000001006,1502.5779999999795
1107_1502,1074,2266.937,2702306.599,1173002.337,1106.5989999999292,1502.3370000000577
1135_1503,1075,2271.694,2702335.157,1173003.108,1135.157000000123,1503.1080000000075
1163_1506,1076,2277.049,2702363.068,1173005.711,1163.0679999999702,1505.7109999998938
1192_1504,1077,2282.459,2702392.125,1173004.404,1192.125,1504.4040000000969
1221_1505,1078,2279.155,2702421.106,1173004.689,1221.1060000001453,1504.689000000013
1250_1504,1079,2278.98,2702449.588,1173004.126,1249.5879999999888,1504.125999999931
1278_1505,1080,2281.001,2702477.992,1173004.951,1277.9920000000857,1504.9509999998845
1307_1506,1081,2280.926,2702506.666,1173005.622,1306.6660000002012,1505.621999999974
1335_1506,1082,2281.292,2702535.057,1173005.728,1335.0570000000298,1505.7279999998864
1364_1508,1083,2283.704,2702563.753,1173007.619,1363.753000000026,1507.6189999999478
1392_1508,1084,2287.073,2702592.461,1173007.673,1392.4610000001267,1507.6729999999516
1421_1508,1085,2297.984,2702621.17,1173007.938,1421.1699999999255,1507.938000000082
1449_1510,1086,2301.881,2702649.356,1173010.16,1449.3560000001453,1510.1599999999162
1478_1509,1087,2308.726,2702677.506,1173008.872,1477.5060000000522,1508.871999999974
1506_1508,1088,2313.862,2702705.952,1173008.306,1505.9520000000484,1508.3060000000987
1534_1510,1089,2320.521,2702734.218,1173009.578,1534.217999999877,1509.5779999999795
 577_1469,1090,2156.835,2701776.593,1172969.199,576.5929999998771,1469.1990000000224
 606_1469,1091,2167.381,2701805.601,1172969.058,605.6009999997914,1469.0579999999609
 635_1470,1092,2179.091,2701834.623,1172969.584,634.6230000001378,1469.5840000000317
 662_1471,1093,2190.915,2701862.191,1172970.694,662.191000000108,1470.6939999999013
 691_1471,1094,2200.381,2701890.76,1172970.653,690.7599999997765,1470.652999999933
 719_1472,1095,2210.454,2701919.436,1172972.046,719.4360000002198,1472.0460000000894
 748_1472,1096,2217.594,2701948.023,1172972.108,748.0230000000447,1472.1080000000075
 776_1472,1097,2220.145,2701975.914,1172972.347,775.9139999998733,1472.347000000067
 805_1473,1098,2223.42,2702004.685,1172972.999,804.6850000000559,1472.999000000069
 834_1474,1099,2229.537,2702034.111,1172974.252,834.1110000000335,1474.252000000095
 862_1474,1100,2233.828,2702062.208,1172973.93,862.2080000001006,1473.9299999999348
 890_1475,1101,2239.544,2702090.496,1172974.619,890.49599999981,1474.6189999999478
 919_1475,1102,2244.742,2702118.502,1172974.975,918.5019999998622,1474.9750000000931
 948_1476,1103,2253.643,2702148.011,1172975.541,948.0109999999404,1475.5409999999683
